Question,Grade,Grader,Answer_Type,Course,Discipline,Knowledge Dimension,Cognitive Process Dimension,Math,Code,Author_Book,Trick
4,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,10,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,9.5,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,9.5,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,9.5,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,0,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,9.5,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,9.5,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,0,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,9.5,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,0,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,0,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
4,0,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,10,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,10,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,10,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
5,9.5,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,9.5,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,9.5,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,9.5,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,9.5,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,9.5,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,0,Grader1,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,0,Grader2,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,0,Grader3,Human,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,9.5,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,0,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,0,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,10,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,10,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,10,Grader1,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,9.5,Grader2,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
6,10,Grader3,GPT,Data Analysis,Political Science,procedural,apply,N,Y,N,N
7,9.5,Grader1,Human,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader1,Human,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader1,Human,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,10,Grader1,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader2,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader3,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,10,Grader1,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader2,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader3,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,10,Grader1,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader2,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
7,9.5,Grader3,GPT,Data Analysis,Political Science,conceptual,apply,N,Y,N,N
8,10,Grader1,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,10,Grader3,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,9.5,Grader1,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,9.5,Grader1,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,9.5,Grader1,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,0,Grader2,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,0,Grader3,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,9.5,Grader1,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,0,Grader2,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,0,Grader3,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,9.5,Grader1,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,0,Grader2,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
8,0,Grader3,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,10,Grader1,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader1,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,10,Grader1,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader1,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader2,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader3,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,10,Grader1,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader2,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,10,Grader3,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,10,Grader1,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader2,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
9,9.5,Grader3,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,9.5,Grader1,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,9.5,Grader1,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,9.5,Grader3,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,0,Grader1,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,9.5,Grader2,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,0,Grader3,Human,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,9.5,Grader1,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,9.5,Grader2,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,9.5,Grader3,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,10,Grader1,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,9.5,Grader2,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,9.5,Grader3,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,0,Grader1,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,0,Grader2,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
10,0,Grader3,GPT,Data Analysis,Political Science,conceptual,evaluate,N,Y,N,N
1,5,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,7,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,9,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,7,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,8,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,10,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,10,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,8,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,8,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,3,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,3,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,5,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,0,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,4,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,1,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,0,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,4,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
1,1,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,apply,N,N,Y,N
2,10,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,9,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,10,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,10,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,10,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,10,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,5,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,7,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,9,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,3,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,6,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,9,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,3,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,6,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,9,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,10,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,9,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
2,10,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,Y,N
3,3,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,4,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,9,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,10,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,6,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,7,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,5,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,6,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,7,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,10,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,9,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,8,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,5,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,8,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,8,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,10,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,9,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
3,9,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,Y,N
4,8,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,9,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,7,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,10,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,10,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,10,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,10,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,10,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,10,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,7,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,9,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,10,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,7,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,9,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,10,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,7,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,9,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
4,10,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
5,10,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,10,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,10,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,0,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,4,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,6,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,3,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,4,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,7,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,3,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,7,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,7,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,5,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,7,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,7,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,3,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,7,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
5,7,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,evaluate,N,N,N,N
6,8,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,8,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,9,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader1,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader2,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,9,Grader3,Human,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader1,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader2,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
6,10,Grader3,GPT,"Intro to the
Study of Society
","Social Research
and Public Policy",conceptual,analyze,N,N,N,N
